City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,mahina,-17.5065,-149.489,28.87,58,0,5.14,PF,1720468789
173,chonchi,-42.6128,-73.8092,8.95,78,99,1.8,CL,1720468791
174,urangan,-25.3,152.9,18.23,86,51,1.5,AU,1720468793
175,pahrump,36.2083,-115.9839,44.58,5,0,1.79,US,1720468795
176,kosk,37.8533,28.0517,28.41,54,0,1.92,TR,1720468798
177,invercargill,-46.4,168.35,1.68,95,98,0.89,NZ,1720468800
178,island harbour,50.724,-1.2758,15.68,77,100,5.36,GB,1720468802
179,changyon,38.2508,125.0961,22.24,96,100,0.24,KP,1720468805
180,port moresby,-9.4431,147.1797,20.68,94,20,1.54,PG,1720468807
181,carnarvon,-24.8667,113.6333,20.99,88,92,2.37,AU,1720468810
182,kapuskasing,49.4169,-82.4331,22.0,83,75,2.57,CA,1720468812
183,tura,25.5198,90.2201,24.08,98,68,3.19,IN,1720468815
184,port hedland,-20.3167,118.5667,16.03,51,2,3.6,AU,1720468818
185,wucheng,29.6008,118.175,26.12,82,70,1.05,CN,1720468820
186,boca do acre,-8.7522,-67.3978,32.57,42,65,1.7,BR,1720468822
187,qaqortoq,60.7167,-46.0333,4.13,99,100,1.02,GL,1720468825
188,bubaque,11.2833,-15.8333,26.59,80,100,5.44,GW,1720468828
189,votkinsk,57.0486,53.9872,17.65,96,49,2.64,RU,1720468830
190,pakse,15.1167,105.7833,24.74,94,100,1.58,LA,1720468833
191,nemuro,43.3236,145.575,13.8,100,100,1.97,JP,1720468835
192,tianshui,34.5439,105.6897,19.42,89,97,1.57,CN,1720468837
193,lazaro cardenas,17.9583,-102.2,30.22,68,73,4.96,MX,1720468839
194,mezhdurechensk,53.6942,88.0603,16.29,98,72,1.5,RU,1720468842
195,sohlde,52.189,10.2324,20.57,75,98,2.05,DE,1720468845
196,malango,-2.9627,119.9001,17.76,91,99,1.01,ID,1720468849
197,jamestown,42.097,-79.2353,30.29,47,0,3.09,US,1720468785
198,dingli,35.8614,14.3822,25.45,73,0,0.51,MT,1720468858
199,sidi ifni,29.3797,-10.173,22.86,79,41,5.14,MA,1720468861
200,rindge,42.7512,-72.0098,32.14,49,18,0.45,US,1720468864
201,penzance,50.1186,-5.5371,15.38,98,100,7.72,GB,1720468867
202,bathsheba,13.2167,-59.5167,30.34,79,40,6.69,BB,1720468870
203,mohammedia,33.7066,-7.3944,22.11,88,0,3.6,MA,1720468873
204,khovd,48.0056,91.6419,21.36,40,100,2.03,MN,1720468876
205,burley,42.5357,-113.7928,31.78,24,0,2.57,US,1720468586
206,nikko,36.75,139.6167,21.25,80,100,2.12,JP,1720468884
207,tchibanga,-2.85,11.0333,19.59,83,78,1.69,GA,1720468887
208,ola,59.5833,151.2833,12.2,87,100,5.94,RU,1720468889
209,tralee,52.2704,-9.7026,13.44,88,100,2.4,IE,1720468877
210,formosa do rio preto,-11.0483,-45.1931,31.97,26,100,2.74,BR,1720468896
211,san antonio de pale,-1.4014,5.6325,23.01,75,85,5.26,GQ,1720468845
212,igrim,63.1906,64.4162,18.2,61,37,1.19,RU,1720468902
213,pilar do sul,-23.8131,-47.7164,12.77,93,99,5.73,BR,1720468895
214,san andres,12.5847,-81.7006,30.01,84,20,5.14,CO,1720468907
215,odienne,9.51,-7.5692,22.8,92,100,1.73,CI,1720468913
216,djambala,-2.5447,14.7533,25.42,44,68,1.28,CG,1720468915
217,onega,63.9061,38.1404,13.5,95,100,0.97,RU,1720468918
218,dzhangala,49.2167,50.3333,25.77,36,7,7.46,KZ,1720468920
219,viseu,40.661,-7.9097,18.18,69,100,2.83,PT,1720468923
220,xai-xai,-25.0519,33.6442,21.2,38,0,6.53,MZ,1720468925
221,sungailiat,-1.85,106.1333,26.12,88,100,3.06,ID,1720468928
222,dudinka,69.4058,86.1778,12.95,72,94,6.88,RU,1720468931
223,kujang-up,39.8672,126.0303,19.84,95,29,0.62,KP,1720468934
224,badger,64.8,-147.5333,15.55,62,46,1.34,US,1720468936
225,siwa oasis,29.2041,25.5195,32.24,23,0,3.79,EG,1720468938
226,isola di capo rizzuto,38.96,17.0933,24.4,81,0,1.44,IT,1720468890
227,olinda,-8.0089,-34.8553,25.85,78,40,3.09,BR,1720468473
228,cacalchen,20.9833,-89.2333,34.99,46,82,4.05,MX,1720468946
229,general cabrera,-32.8131,-63.8724,9.46,35,0,3.94,AR,1720468953
230,waynesville,35.4887,-82.9887,30.02,80,100,0.45,US,1720468812
231,jabor,5.921,169.6434,27.97,78,81,5.68,MH,1720468961
232,puerto baquerizo moreno,-0.9,-89.6,24.55,88,40,7.2,EC,1720468934
233,bodo,67.28,14.405,12.75,78,75,1.03,NO,1720468937
234,businga,3.3333,20.8833,22.46,93,83,0.3,CD,1720468972
235,la rioja,42.25,-2.5,21.88,39,38,4.0,ES,1720468975
236,metlili chaamba,32.2667,3.6333,41.52,10,4,4.12,DZ,1720468977
237,plettenberg bay,-34.0527,23.3716,11.15,63,98,9.26,ZA,1720468979
238,qianzhou,28.3167,109.7167,24.86,88,99,0.99,CN,1720468982
239,vadso,70.0744,29.7487,12.49,87,75,5.66,NO,1720468989
240,fale old settlement,-9.3852,-171.2468,28.42,79,98,10.24,TK,1720468992
241,dazhong,33.1997,120.4578,24.97,96,100,2.9,CN,1720468995
242,jayapura,-2.5333,140.7,25.66,93,100,1.89,ID,1720468998
243,polyarnyy,69.1989,33.4478,14.83,76,1,4.88,RU,1720469002
244,bardai,11.65,7.2333,25.38,68,20,3.91,NG,1720469003
245,lihue,21.9789,-159.3672,26.36,77,86,5.26,US,1720469006
246,ceeldheer,3.8488,47.1806,25.03,84,6,9.94,SO,1720469008
247,gwadar,25.1216,62.3254,28.45,81,100,3.54,PK,1720469010
248,kingscliff,-28.2667,153.5667,15.96,100,75,1.54,AU,1720469012
249,luanda,-8.8368,13.2343,20.78,87,55,5.22,AO,1720469015
250,codrington,-38.2667,141.9667,9.49,96,28,3.09,AU,1720469018
251,kristiansund,63.1115,7.732,13.4,45,75,3.09,NO,1720469020
252,mezhdurechenskiy,59.6,65.9333,15.72,64,23,0.2,RU,1720469022
253,saint croix,17.7397,-64.7388,29.42,76,100,3.13,VI,1720469024
254,sao jose de ribamar,-2.5619,-44.0542,28.21,78,75,3.79,BR,1720469026
255,palmer,42.1584,-72.3287,34.07,43,40,1.54,US,1720469028
256,mili,6.0815,171.735,28.19,77,100,7.94,MH,1720469031
257,usogorsk,63.4106,48.6872,17.37,57,0,1.85,RU,1720469034
258,mushie,-3.0167,16.9,28.54,37,24,1.09,CD,1720468750
259,bozoum,6.3193,16.3799,22.09,88,68,1.46,CF,1720469039
260,severobaykal'sk,55.65,109.3167,16.54,61,22,1.77,RU,1720469043
261,ponta delgada,37.7333,-25.6667,22.4,94,75,9.26,PT,1720468919
262,ribeira brava,32.65,-17.0667,24.45,84,24,3.17,PT,1720469048
263,kinel'-cherkassy,53.4706,51.4743,16.26,76,2,1.41,RU,1720469053
264,porto novo,6.4965,2.6036,25.9,91,98,3.75,BJ,1720469055
265,morondava,-20.2833,44.2833,20.56,71,0,2.17,MG,1720469058
266,ugoofaaru,5.6667,73.0,28.48,77,100,7.6,MV,1720469060
267,weno,7.4515,151.8468,28.72,77,100,5.75,FM,1720469066
268,maracaju,-21.6144,-55.1683,14.06,87,100,3.07,BR,1720468991
269,al jawf,29.5,38.75,31.75,20,0,2.04,SA,1720469071
270,hohhot,40.8106,111.6522,19.16,72,0,3.0,CN,1720469073
271,mejit,10.2753,170.8646,27.95,80,35,8.3,MH,1720469075
272,grand falls-windsor,48.9332,-55.6649,27.59,51,87,2.0,CA,1720469078
273,bechar,31.6167,-2.2167,40.18,8,0,4.12,DZ,1720469081
274,saint-francois,46.4154,3.9054,22.69,64,4,2.57,FR,1720469084
275,hermanus,-34.4187,19.2345,11.56,75,59,10.49,ZA,1720469089
276,kilindoni,-7.9139,39.6668,25.69,68,10,5.83,TZ,1720469092
277,kalifornsky,60.4183,-151.29,14.59,89,100,4.18,US,1720469097
278,coquimbo,-29.9533,-71.3436,12.85,69,20,4.63,CL,1720468996
279,raton,36.9034,-104.4391,21.34,43,20,0.0,US,1720469102
280,fauske,67.2588,15.3918,12.75,88,100,0.7,NO,1720469104
281,talca,-35.4333,-71.6667,9.39,61,0,3.01,CL,1720469080
282,orimattila,60.8049,25.7296,14.61,74,2,2.49,FI,1720469111
283,whitefish,48.4111,-114.3376,31.73,33,0,4.12,US,1720469113
284,mount isa,-20.7333,139.5,18.87,82,100,3.6,AU,1720469115
285,aswan,24.0934,32.907,36.61,20,0,2.06,EG,1720468563
286,phan rang-thap cham,11.5667,108.9833,25.09,89,98,1.04,VN,1720469119
287,mirnyy,62.5353,113.9611,17.42,61,100,4.05,RU,1720468980
288,valdovino,43.6094,-8.1115,18.27,94,100,4.99,ES,1720469123
289,hailar,49.2,119.7,17.63,67,52,1.26,CN,1720469125
290,juazeirinho,-6.8167,-38.05,32.64,19,22,4.96,BR,1720469128
291,port lincoln,-34.7333,135.8667,11.65,88,6,1.65,AU,1720469130
